,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price
182,ICICIBANK,01/11/2021,30/12/2021,PE,670,0,0,0,43.4,0,10.35,0,0,0,0,0,-,810.7
183,ICICIBANK,01/11/2021,30/12/2021,PE,680,0,0,0,47.95,0,12.15,0,0,0,0,0,-,810.7
184,ICICIBANK,01/11/2021,30/12/2021,PE,690,0,0,0,52.75,0,14.2,0,0,0,0,0,-,810.7
185,ICICIBANK,01/11/2021,30/12/2021,PE,700,6.05,6.05,4.75,4.75,4.75,16.45,3,29.1,0.23,24750,2750,-,810.7
186,ICICIBANK,01/11/2021,30/12/2021,PE,710,0,0,0,63.15,0,19,0,0,0,0,0,-,810.7
187,ICICIBANK,01/11/2021,30/12/2021,PE,720,0,0,0,10,10,21.75,0,0,0,1375,0,-,810.7
188,ICICIBANK,01/11/2021,30/12/2021,PE,730,0,0,0,74.55,0,24.75,0,0,0,0,0,-,810.7
189,ICICIBANK,01/11/2021,30/12/2021,PE,740,0,0,0,80.6,0,28.05,0,0,0,0,0,-,810.7
190,ICICIBANK,01/11/2021,30/12/2021,PE,750,11.4,13.6,11.4,13,13,13,5,52.46,0.89,24750,2750,-,810.7
191,ICICIBANK,01/11/2021,30/12/2021,PE,760,0,0,0,93.4,0,35.45,0,0,0,0,0,-,810.7
192,ICICIBANK,01/11/2021,30/12/2021,PE,770,0,0,0,100.1,0,39.55,0,0,0,0,0,-,810.7
193,ICICIBANK,01/11/2021,30/12/2021,PE,780,23.9,25.9,23.9,25.75,25.75,43.95,17,188.23,5.91,23375,23375,-,810.7
194,ICICIBANK,01/11/2021,30/12/2021,PE,790,27.8,30.35,26.1,26.1,26.1,48.6,25,281.36,9.8,31625,31625,-,810.7
195,ICICIBANK,01/11/2021,30/12/2021,PE,800,34.8,37.5,28.4,29.65,28.4,29.65,88,1007.88,39.88,107250,92125,-,810.7
196,ICICIBANK,01/11/2021,30/12/2021,PE,810,0,0,0,128.95,0,58.8,0,0,0,0,0,-,810.7
197,ICICIBANK,01/11/2021,30/12/2021,PE,820,0,0,0,136.65,0,64.25,0,0,0,0,0,-,810.7
198,ICICIBANK,01/11/2021,30/12/2021,PE,830,0,0,0,144.45,0,70,0,0,0,0,0,-,810.7
199,ICICIBANK,01/11/2021,30/12/2021,PE,840,0,0,0,152.4,0,76.05,0,0,0,0,0,-,810.7
200,ICICIBANK,01/11/2021,30/12/2021,PE,850,0,0,0,160.5,0,82.3,0,0,0,0,0,-,810.7
201,ICICIBANK,01/11/2021,30/12/2021,PE,860,0,0,0,168.75,0,88.8,0,0,0,0,0,-,810.7
