Date,Expiry,Strike Price,best_bid,best_offer,Close,futures_price,Option Type,time_diff,
1/11/21,30/12/21,880,86.6,89.6,88.1,851.6630976,CE,1.38,
1/11/21,30/12/21,885,85.5,86.9,86.2,851.6630976,CE,1.38,
1/11/21,30/12/21,890,83.3,84.8,84.05,851.6630976,CE,1.38,
1/11/21,30/12/21,895,81.7,82.6,82.15,851.6630976,CE,1.38,
1/11/21,30/12/21,900,79.7,80.7,80.2,851.6630976,CE,1.38,
1/11/21,30/12/21,910,75.3,76.8,76.05,851.6630976,CE,1.38,
1/11/21,30/12/21,920,72,73.5,72.75,851.6630976,CE,1.38,
1/11/21,30/12/21,930,68.7,69.6,69.15,851.6630976,CE,1.38,
1/11/21,30/12/21,940,65.3,66.2,65.75,851.6630976,CE,1.38,
1/11/21,30/12/21,950,62,62.9,62.45,851.6630976,CE,1.38,
1/11/21,30/12/21,960,58.8,61.1,59.95,851.6630976,CE,1.38,
1/11/21,30/12/21,970,55.9,56.8,56.35,851.6630976,CE,1.38,
1/11/21,30/12/21,980,53,54,53.5,851.6630976,CE,1.38,
1/11/21,30/12/21,990,50.3,51.8,51.05,851.6630976,CE,1.38,
1/11/21,30/12/21,1000,47.5,49.9,48.7,851.6630976,CE,1.38,
1/11/21,30/12/21,1010,45,47.3,46.15,851.6630976,CE,1.38,
1/11/21,30/12/21,1020,42.3,43.7,43,851.6630976,CE,1.38,
1/11/21,30/12/21,1030,40.4,41.8,41.1,851.6630976,CE,1.38,
1/11/21,30/12/21,1040,37.9,39.7,38.8,851.6630976,CE,1.38,
1/11/21,30/12/21,1050,36.4,37.2,36.8,851.6630976,CE,1.38,
1/11/21,30/12/21,1060,34.4,35,34.7,851.6630976,CE,1.38,
1/11/21,30/12/21,1070,32.2,33.7,32.95,851.6630976,CE,1.38,
1/11/21,30/12/21,1080,30.2,31.6,30.9,851.6630976,CE,1.38,
1/11/21,30/12/21,1090,28.8,30.6,29.7,851.6630976,CE,1.38,
1/11/21,30/12/21,1100,27.2,28.2,27.7,851.6630976,CE,1.38,
1/11/21,30/12/21,1110,25.8,27.2,26.5,851.6630976,CE,1.38,
1/11/21,30/12/21,1120,24.4,25.4,24.9,851.6630976,CE,1.38,
1/11/21,30/12/21,1130,22.8,24.7,23.75,851.6630976,CE,1.38,
1/11/21,30/12/21,1140,21.2,22.8,22,851.6630976,CE,1.38,
1/11/21,30/12/21,1150,19.7,21.7,20.7,851.6630976,CE,1.38,
1/11/21,30/12/21,1160,19.2,20.9,20.05,851.6630976,CE,1.38,
1/11/21,30/12/21,1170,18.3,20,19.15,851.6630976,CE,1.38,
1/11/21,30/12/21,1180,17.3,18.7,18,851.6630976,CE,1.38,
1/11/21,30/12/21,1190,16.1,17.7,16.9,851.6630976,CE,1.38,
1/11/21,30/12/21,1200,15.3,16.3,15.8,851.6630976,CE,1.38,
1/11/21,30/12/21,1210,14.2,15.3,14.75,851.6630976,CE,1.38,
1/11/21,30/12/21,1220,13.6,14.5,14.05,851.6630976,CE,1.38,
1/11/21,30/12/21,1230,12.8,13.7,13.25,851.6630976,CE,1.38,
1/11/21,30/12/21,1240,12.1,13.2,12.65,851.6630976,CE,1.38,
1/11/21,30/12/21,1250,10.3,13.7,12,851.6630976,CE,1.38,
1/11/21,30/12/21,1260,9.8,12,10.9,851.6630976,CE,1.38,
1/11/21,30/12/21,1270,8.7,11.6,10.15,851.6630976,CE,1.38,
1/11/21,30/12/21,1280,8.2,11.7,9.95,851.6630976,CE,1.38,
1/11/21,30/12/21,1290,7.6,11,9.3,851.6630976,CE,1.38,
1/11/21,30/12/21,1300,7.2,10.5,8.85,851.6630976,CE,1.38,
1/11/21,30/12/21,1310,6.6,10,8.3,851.6630976,CE,1.38,
1/11/21,30/12/21,1320,6.1,9.5,7.8,851.6630976,CE,1.38,
1/11/21,30/12/21,1330,5.7,9,7.35,851.6630976,CE,1.38,
1/11/21,30/12/21,1340,5.3,8.6,6.95,851.6630976,CE,1.38,
1/11/21,30/12/21,1350,5.7,8.2,6.95,851.6630976,CE,1.38,
1/11/21,30/12/21,1360,5.5,7.8,6.65,851.6630976,CE,1.38,
1/11/21,30/12/21,1370,5.2,7.4,6.3,851.6630976,CE,1.38,
