Date,Open,High,Low,Close,Adj Close,Volume,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell,Position,Realised_PNL,MTM,AvgPrc
2018-05-31,272.149994,272.48999,270.26001,270.940002,254.698807,93519900,271.99899289999996,268.8213338,1.0,1.0,267.1577853,-0.0,-20.0,-2516.1997080000024,-1498.430014,196.0185013
2018-06-01,272.410004,273.940002,272.329987,273.600006,257.199371,71258400,272.14999079999996,268.90199989999996,1.0,1.0,265.52120196,-0.0,-20.0,-2516.1997080000024,-1551.6300940000006,196.0185013
2018-06-04,274.529999,275.190002,274.26001,274.899994,258.421478,45385200,272.019992,268.9203328,1.0,1.0,268.12800588,-0.0,-20.0,-2516.1997080000024,-1577.6298539999993,196.0185013
2018-06-05,275.049988,275.529999,274.179993,275.100006,258.609467,51135000,272.1789916,269.0773325,1.0,1.0,269.40199412,-0.0,-20.0,-2516.1997080000024,-1581.6300940000006,196.0185013
2018-06-06,275.790009,277.519989,275.089996,277.399994,260.771637,62732200,272.5359923,269.3536661333333,1.0,1.0,269.59800588,-0.0,-20.0,-2516.1997080000024,-1627.6298539999993,196.0185013
2018-06-07,277.950012,278.279999,276.339996,277.369995,260.743408,72969400,272.7089934,269.63799943333333,1.0,1.0,271.85199412,-0.0,-20.0,-2516.1997080000024,-1627.0298740000003,196.0185013
2018-06-08,276.850006,278.25,276.660004,278.190002,261.514221,72139700,273.1879943,270.11866553333334,1.0,1.0,271.8225951,-0.0,-20.0,-2516.1997080000024,-1643.430014,196.0185013
2018-06-11,278.440002,279.369995,278.309998,278.559998,261.86203,58892500,273.58899529999997,270.5766652,1.0,1.0,272.62620196,-0.0,-20.0,-2516.1997080000024,-1650.8299339999999,196.0185013
2018-06-12,279.029999,279.329987,278.190002,278.920013,262.2005,72329000,274.12799670000004,270.97266533333334,1.0,1.0,272.98879804,-0.0,-20.0,-2516.1997080000024,-1658.0302339999994,196.0185013
2018-06-13,279.190002,279.480011,277.799988,278.029999,261.3638,79070600,274.76899710000004,271.3726653333334,1.0,1.0,273.34161273999996,-0.0,-20.0,-2516.1997080000024,-1640.229953999999,196.0185013
2018-06-14,279.01001,279.329987,278.059998,278.730011,262.021912,77097600,275.7589995,271.8529987666667,1.0,1.0,272.46939901999997,-0.0,-20.0,-2516.1997080000024,-1654.2301940000002,196.0185013
2018-06-15,276.600006,277.51001,275.350006,277.130005,261.687653,120041600,276.3010009,272.28799836666667,1.0,1.0,273.15541078,-0.0,-20.0,-2516.1997080000024,-1622.2300739999996,196.0185013
2018-06-18,275.48999,276.700012,274.950012,276.559998,261.149323,52917600,277.0800018,272.805665,1.0,1.0,271.58740489999997,-0.0,-20.0,-2516.1997080000024,-1610.8299339999999,196.0185013
2018-06-19,274.0,275.75,273.529999,275.5,260.148376,97531500,277.4330017,273.289332,1.0,1.0,271.02879804,-0.0,-20.0,-2516.1997080000024,-1589.629974,196.0185013
2018-06-20,276.269989,276.720001,275.589996,275.970001,260.592285,53785500,277.5990021,273.6406656333333,1.0,1.0,269.99,-0.0,-20.0,-2516.1997080000024,-1599.029994000001,196.0185013
2018-06-21,275.959991,275.980011,273.679993,274.23999,258.958618,71061400,277.6390015,273.9266652,1.0,1.0,270.45060098000005,-0.0,-20.0,-2516.1997080000024,-1564.4297739999997,196.0185013
2018-06-22,275.660004,275.790009,274.48999,274.73999,259.430786,54898500,277.4960022,274.22833146666665,1.0,1.0,268.75519019999996,-0.0,-20.0,-2516.1997080000024,-1574.4297739999997,196.0185013
2018-06-25,273.440002,273.619995,269.100006,271.0,255.899139,137854200,277.1830017,274.38633113333333,1.0,1.0,269.24519019999997,-0.0,-20.0,-2516.1997080000024,-1499.629974,196.0185013
2018-06-26,271.640015,272.559998,270.790009,271.600006,256.46582,68547400,276.8380005,274.4769978333333,1.0,1.0,265.58,-0.0,-20.0,-2516.1997080000024,-1511.6300940000006,196.0185013
2018-06-27,272.26001,273.869995,269.179993,269.350006,254.341095,105110700,276.0820007,274.41533096666666,1.0,1.0,266.16800588,-0.0,-20.0,-2516.1997080000024,-1466.6300940000006,196.0185013
2018-06-28,269.290009,271.75,268.48999,270.890015,255.795349,76650500,275.35,274.3693308,1.0,1.0,263.96300588,-0.0,-20.0,-2516.1997080000024,-1497.4302739999998,196.0185013
2018-06-29,272.119995,273.660004,271.149994,271.279999,256.163574,97592500,274.4820007,274.31099746666666,1.0,1.0,265.4722147,-0.0,-20.0,-2516.1997080000024,-1505.229953999999,196.0185013
2018-07-02,269.51001,272.040009,269.23999,271.859985,256.711304,63554800,273.69800109999994,274.26599830000004,-1.0,1.0,276.70559898,-0.0,-20.0,-2516.1997080000024,-1516.829674,196.0185013
2018-07-03,272.869995,272.980011,270.420013,270.899994,255.804718,42187100,273.1130005,274.24166460000004,-1.0,1.0,277.2971847,-0.0,-20.0,-2516.1997080000024,-1497.6298539999993,196.0185013
