,date,Open,High,Low,Close
639,2024-08-07,1796.0,1797.9,1762.1,1791.65
640,2024-08-08,1779.95,1779.95,1727.1,1743.15
641,2024-08-09,1771.25,1780.75,1756.0,1770.75
642,2024-08-12,1773.05,1803.5,1768.1,1797.4
643,2024-08-13,1810.0,1810.0,1789.05,1797.45
644,2024-08-14,1802.0,1825.0,1797.45,1823.25
645,2024-08-16,1850.0,1861.85,1829.5,1858.95
646,2024-08-19,1860.0,1867.55,1849.2,1864.8
647,2024-08-20,1880.0,1885.7,1868.2,1872.2
648,2024-08-21,1875.1,1879.0,1867.1,1872.7
649,2024-08-22,1884.0,1893.65,1869.7,1880.25
650,2024-08-23,1878.2,1882.6,1857.0,1862.1
651,2024-08-26,1870.0,1888.75,1864.0,1876.15
652,2024-08-27,1876.15,1902.75,1873.9,1900.1
653,2024-08-28,1906.9,1951.0,1897.4,1939.1
654,2024-08-29,1933.0,1950.5,1920.9,1933.35
655,2024-08-30,1938.0,1950.0,1928.0,1943.7
656,2024-09-02,1943.35,1975.75,1942.8,1964.5
657,2024-09-03,1967.0,1967.0,1936.45,1941.25
658,2024-09-04,1921.1,1927.2,1900.05,1922.45
659,2024-09-05,1926.25,1940.0,1909.6,1933.15
660,2024-09-06,1922.0,1936.5,1896.85,1901.85
661,2024-09-09,1890.0,1920.85,1889.0,1894.65
662,2024-09-10,1904.9,1935.0,1896.0,1912.3
663,2024-09-11,1914.7,1926.0,1905.0,1910.15
664,2024-09-12,1925.0,1956.4,1910.8,1950.45
665,2024-09-13,1950.45,1958.6,1935.65,1944.1
666,2024-09-16,1945.75,1952.0,1933.05,1950.25
667,2024-09-17,1947.75,1958.45,1942.15,1952.55
668,2024-09-18,1938.75,1938.75,1881.3,1892.15
669,2024-09-19,1910.6,1924.9,1878.8,1894.2
670,2024-09-20,1905.0,1915.0,1867.4,1905.75
671,2024-09-23,1909.0,1918.9,1878.45,1896.45
672,2024-09-24,1888.0,1910.9,1871.4,1898.6
673,2024-09-25,1886.35,1901.6,1876.8,1895.3
674,2024-09-26,1897.8,1917.95,1893.0,1900.25
675,2024-09-27,1932.1,1974.6,1903.3,1906.75
676,2024-09-30,1880.0,1901.25,1870.5,1875.6
677,2024-10-01,1875.0,1908.95,1875.0,1904.35
678,2024-10-03,1889.5,1911.85,1881.0,1893.4
679,2024-10-04,1889.55,1954.1,1886.0,1918.15
680,2024-10-07,1923.2,1942.0,1916.05,1934.3
681,2024-10-08,1937.9,1957.95,1906.35,1948.55
682,2024-10-09,1952.55,1977.0,1945.1,1952.75
683,2024-10-10,1957.9,1964.0,1914.1,1919.0
684,2024-10-11,1918.0,1947.0,1910.1,1935.1
685,2024-10-14,1932.15,1969.5,1931.1,1958.9
686,2024-10-15,1960.0,1991.45,1951.75,1959.3
687,2024-10-16,1955.0,1959.55,1916.35,1920.1
688,2024-10-17,1935.2,1978.0,1930.15,1968.1
689,2024-10-18,1893.8,1936.85,1869.25,1879.6
690,2024-10-21,1891.1,1898.8,1838.0,1852.75
691,2024-10-22,1858.2,1877.8,1846.95,1851.6
692,2024-10-23,1845.25,1886.0,1844.0,1873.4
693,2024-10-24,1861.4,1884.0,1860.0,1863.35
694,2024-10-25,1863.45,1876.35,1846.4,1862.05
695,2024-10-28,1859.7,1881.9,1857.0,1865.35
696,2024-10-29,1846.0,1851.6,1829.0,1839.3
697,2024-10-30,1832.0,1839.0,1796.35,1802.1
698,2024-10-31,1787.9,1787.9,1746.5,1757.25
699,2024-11-01,1764.5,1766.0,1752.05,1760.85
700,2024-11-04,1724.5,1767.0,1718.0,1763.65
701,2024-11-05,1760.0,1768.45,1745.0,1754.2
702,2024-11-06,1764.0,1827.2,1762.65,1823.7
703,2024-11-07,1812.95,1825.7,1787.0,1803.05
704,2024-11-08,1818.0,1840.6,1813.15,1829.95
705,2024-11-11,1829.0,1868.0,1822.55,1860.1
706,2024-11-12,1871.1,1881.0,1861.0,1868.8
707,2024-11-13,1861.1,1873.2,1856.3,1868.4
708,2024-11-14,1865.6,1876.0,1856.0,1864.55
709,2024-11-18,1849.2,1849.2,1795.0,1811.45
710,2024-11-19,1825.5,1859.7,1820.55,1824.75
711,2024-11-21,1842.0,1867.0,1820.6,1834.05
712,2024-11-22,1854.1,1914.05,1834.0,1902.25
713,2024-11-25,1916.0,1919.3,1882.0,1889.7
714,2024-11-26,1904.95,1938.6,1897.3,1924.15
715,2024-11-27,1930.1,1941.4,1911.75,1924.5
716,2024-11-28,1914.9,1914.9,1851.65,1856.65
717,2024-11-29,1851.1,1877.0,1845.0,1857.85
718,2024-12-02,1859.0,1882.8,1835.2,1879.8
719,2024-12-03,1887.0,1899.75,1871.15,1892.1
720,2024-12-04,1884.0,1913.95,1875.0,1889.25
721,2024-12-05,1900.0,1949.9,1888.95,1934.85
722,2024-12-06,1932.8,1937.95,1912.4,1922.4
723,2024-12-09,1924.2,1930.2,1897.2,1923.65
724,2024-12-10,1939.0,1965.6,1932.0,1948.55
