,Realised_PNL
1970-01-01 00:00:00.000000434,-7485.000000000013
1970-01-01 00:00:00.000000435,-7485.000000000013
1970-01-01 00:00:00.000000436,-7485.000000000013
1970-01-01 00:00:00.000000437,-8850.0
1970-01-01 00:00:00.000000438,-8850.0
1970-01-01 00:00:00.000000439,-8850.0
1970-01-01 00:00:00.000000440,-8850.0
1970-01-01 00:00:00.000000441,-8850.0
1970-01-01 00:00:00.000000442,-8850.0
1970-01-01 00:00:00.000000443,-8850.0
1970-01-01 00:00:00.000000444,-8850.0
1970-01-01 00:00:00.000000445,-8850.0
1970-01-01 00:00:00.000000446,-8850.0
1970-01-01 00:00:00.000000447,-8850.0
1970-01-01 00:00:00.000000448,-8850.0
1970-01-01 00:00:00.000000449,-8850.0
1970-01-01 00:00:00.000000450,-8850.0
1970-01-01 00:00:00.000000451,-8850.0
1970-01-01 00:00:00.000000452,-8850.0
1970-01-01 00:00:00.000000453,-8700.0
1970-01-01 00:00:00.000000454,-8700.0
1970-01-01 00:00:00.000000455,-8700.0
1970-01-01 00:00:00.000000456,-8700.0
1970-01-01 00:00:00.000000457,-8700.0
1970-01-01 00:00:00.000000458,-8700.0
1970-01-01 00:00:00.000000459,-8700.0
1970-01-01 00:00:00.000000460,-8700.0
1970-01-01 00:00:00.000000461,-9285.000000000015
1970-01-01 00:00:00.000000462,-9285.000000000015
1970-01-01 00:00:00.000000463,-9285.000000000015
1970-01-01 00:00:00.000000464,-9285.000000000015
1970-01-01 00:00:00.000000465,-9285.000000000015
1970-01-01 00:00:00.000000466,-9285.000000000015
1970-01-01 00:00:00.000000467,-9285.000000000015
1970-01-01 00:00:00.000000468,-9285.000000000015
1970-01-01 00:00:00.000000469,-9285.000000000015
1970-01-01 00:00:00.000000470,-9285.000000000015
1970-01-01 00:00:00.000000471,-9285.000000000015
1970-01-01 00:00:00.000000472,-3720.000000000028
1970-01-01 00:00:00.000000473,-3720.000000000028
1970-01-01 00:00:00.000000474,-3720.000000000028
1970-01-01 00:00:00.000000475,-3720.000000000028
1970-01-01 00:00:00.000000476,-4814.999999999987
1970-01-01 00:00:00.000000477,-4814.999999999987
1970-01-01 00:00:00.000000478,-4814.999999999987
1970-01-01 00:00:00.000000479,-4814.999999999987
1970-01-01 00:00:00.000000480,-4814.999999999987
1970-01-01 00:00:00.000000481,-4814.999999999987
1970-01-01 00:00:00.000000482,-5535.000000000015
1970-01-01 00:00:00.000000483,-5535.000000000015
1970-01-01 00:00:00.000000484,-6329.999999999974
1970-01-01 00:00:00.000000485,-6329.999999999974
1970-01-01 00:00:00.000000486,-6329.999999999974
1970-01-01 00:00:00.000000487,-6329.999999999974
1970-01-01 00:00:00.000000488,-6329.999999999974
1970-01-01 00:00:00.000000489,-6329.999999999974
1970-01-01 00:00:00.000000490,-6329.999999999974
1970-01-01 00:00:00.000000491,-6329.999999999974
1970-01-01 00:00:00.000000492,-6329.999999999974
1970-01-01 00:00:00.000000493,-6329.999999999974
1970-01-01 00:00:00.000000494,-6329.999999999974
1970-01-01 00:00:00.000000495,-6329.999999999974
1970-01-01 00:00:00.000000496,-6329.999999999974
1970-01-01 00:00:00.000000497,-7274.999999999933
1970-01-01 00:00:00.000000498,-7274.999999999933
1970-01-01 00:00:00.000000499,-7274.999999999933
1970-01-01 00:00:00.000000500,-7274.999999999933
1970-01-01 00:00:00.000000501,-7274.999999999933
1970-01-01 00:00:00.000000502,-7274.999999999933
1970-01-01 00:00:00.000000503,-1409.9999999999463
1970-01-01 00:00:00.000000504,-1409.9999999999463
1970-01-01 00:00:00.000000505,-2339.999999999919
1970-01-01 00:00:00.000000506,-2339.999999999919
1970-01-01 00:00:00.000000507,-2339.999999999919
1970-01-01 00:00:00.000000508,-2339.999999999919
1970-01-01 00:00:00.000000509,-2339.999999999919
1970-01-01 00:00:00.000000510,-2339.999999999919
1970-01-01 00:00:00.000000511,-2339.999999999919
1970-01-01 00:00:00.000000512,-2339.999999999919
1970-01-01 00:00:00.000000513,-2339.999999999919
1970-01-01 00:00:00.000000514,-2339.999999999919
1970-01-01 00:00:00.000000515,-2339.999999999919
1970-01-01 00:00:00.000000516,-2339.999999999919
1970-01-01 00:00:00.000000517,-2339.999999999919
1970-01-01 00:00:00.000000518,-3419.9999999998918
1970-01-01 00:00:00.000000519,-3419.9999999998918
1970-01-01 00:00:00.000000520,-3779.9999999999054
1970-01-01 00:00:00.000000521,-4919.99999999996
1970-01-01 00:00:00.000000522,-4919.99999999996
1970-01-01 00:00:00.000000523,-4919.99999999996
1970-01-01 00:00:00.000000524,-4919.99999999996
1970-01-01 00:00:00.000000525,-4919.99999999996
1970-01-01 00:00:00.000000526,-4919.99999999996
1970-01-01 00:00:00.000000527,-4919.99999999996
1970-01-01 00:00:00.000000528,-4919.99999999996
1970-01-01 00:00:00.000000529,-4919.99999999996
1970-01-01 00:00:00.000000530,-4919.99999999996
1970-01-01 00:00:00.000000531,-4919.99999999996
1970-01-01 00:00:00.000000532,-4919.99999999996
1970-01-01 00:00:00.000000533,-4919.99999999996
1970-01-01 00:00:00.000000534,-4919.99999999996
1970-01-01 00:00:00.000000535,-4919.99999999996
1970-01-01 00:00:00.000000536,-4919.99999999996
1970-01-01 00:00:00.000000537,-4919.99999999996
1970-01-01 00:00:00.000000538,-4919.99999999996
1970-01-01 00:00:00.000000539,-4919.99999999996
1970-01-01 00:00:00.000000540,-4919.99999999996
1970-01-01 00:00:00.000000541,-4919.99999999996
1970-01-01 00:00:00.000000542,2460.0000000000127
1970-01-01 00:00:00.000000543,2460.0000000000127
1970-01-01 00:00:00.000000544,2460.0000000000127
1970-01-01 00:00:00.000000545,2460.0000000000127
1970-01-01 00:00:00.000000546,1095.0000000000264
1970-01-01 00:00:00.000000547,1095.0000000000264
1970-01-01 00:00:00.000000548,1095.0000000000264
1970-01-01 00:00:00.000000549,1095.0000000000264
1970-01-01 00:00:00.000000550,345.0000000000264
1970-01-01 00:00:00.000000551,345.0000000000264
1970-01-01 00:00:00.000000552,345.0000000000264
1970-01-01 00:00:00.000000553,345.0000000000264
1970-01-01 00:00:00.000000554,345.0000000000264
1970-01-01 00:00:00.000000555,345.0000000000264
1970-01-01 00:00:00.000000556,345.0000000000264
1970-01-01 00:00:00.000000557,345.0000000000264
1970-01-01 00:00:00.000000558,345.0000000000264
1970-01-01 00:00:00.000000559,345.0000000000264
1970-01-01 00:00:00.000000560,-929.9999999999736
1970-01-01 00:00:00.000000561,-929.9999999999736
1970-01-01 00:00:00.000000562,-929.9999999999736
1970-01-01 00:00:00.000000563,-825.0000000000009
1970-01-01 00:00:00.000000564,-825.0000000000009
1970-01-01 00:00:00.000000565,-825.0000000000009
1970-01-01 00:00:00.000000566,-1679.9999999999736
1970-01-01 00:00:00.000000567,-1679.9999999999736
1970-01-01 00:00:00.000000568,-1679.9999999999736
1970-01-01 00:00:00.000000569,-1679.9999999999736
