,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
27,35028,127343,AXISBANK,OPTSTK,2021-11-25,820,CE,0.25,0.4,0.2,0.25,0.25,453,4458.86,1538400,-297600,2021-11-23,686.05,2.0,133.95000000000005,106.93359375,0.013427398815215921,-0.46734821741799976,0.0006339041401321114,0.01748181094560847,107.52872634203219
28,35029,127344,AXISBANK,OPTSTK,2021-11-25,830,CE,0.25,0.3,0.15,0.2,0.2,118,1175.6,696000,-51600,2021-11-23,686.05,2.0,143.95000000000005,109.375,0.010385026479394387,-0.38249584201916936,0.0004959089075276049,0.013988419365272479,112.06910084936104
29,35030,127345,AXISBANK,OPTSTK,2021-11-25,840,CE,0.45,0.45,0.15,0.2,0.2,496,5001.0,1050000,-345600,2021-11-23,686.05,2.0,153.95000000000005,117.1875,0.010997160674775396,-0.43077492982483817,0.0004865182818145477,0.014703784271354476,116.50637618160788
30,35031,127346,AXISBANK,OPTSTK,2021-11-25,850,CE,0.3,0.3,0.15,0.2,0.2,593,6050.11,2286000,-331200,2021-11-23,686.05,2.0,163.95000000000005,125.0,0.01161565141603014,-0.4818719052653221,0.00047832480484860445,0.015419900968490306,120.84617888248242
31,35032,127347,AXISBANK,OPTSTK,2021-11-25,860,CE,0.2,0.3,0.1,0.15,0.15,200,2064.42,751200,-153600,2021-11-23,686.05,2.0,173.95000000000005,123.046875,0.007435565697153013,-0.32106941836994096,0.0003289039484212192,0.010437304267010143,125.09364479244626
32,35033,127348,AXISBANK,OPTSTK,2021-11-25,870,CE,0.15,0.25,0.15,0.15,0.15,68,710.06,297600,-48000,2021-11-23,686.05,2.0,183.95000000000005,128.90625,0.00730883577776304,-0.3313006784047864,0.0003092329039465354,0.010280360445045494,129.2534665033682
33,35034,127349,AXISBANK,OPTSTK,2021-11-25,880,CE,0.2,0.25,0.15,0.15,0.15,76,802.72,435600,-72000,2021-11-23,686.05,2.0,193.95000000000005,133.7890625,0.006861117748382846,-0.32519545935300803,0.0002817828612837951,0.009722632127809641,133.32993960487383
34,35035,127350,AXISBANK,OPTSTK,2021-11-25,890,CE,0.15,0.2,0.15,0.2,0.2,15,160.23,116400,-8400,2021-11-23,686.05,2.0,203.95000000000005,140.625,0.007177269581538038,-0.35567581504945306,0.00027895913471568073,0.010117000961406664,137.3270054305
35,35036,127351,AXISBANK,OPTSTK,2021-11-25,900,CE,0.2,0.25,0.15,0.2,0.2,403,4353.24,2124000,-237600,2021-11-23,686.05,2.0,213.95000000000005,148.4375,0.007857512551169054,-0.4066081760016305,0.0002862201251457977,0.010957020321728149,141.2482895119201
36,35037,127352,AXISBANK,OPTSTK,2021-11-25,910,CE,0.2,0.2,0.15,0.15,0.15,15,163.83,207600,-8400,2021-11-23,686.05,2.0,223.95000000000005,149.4140625,0.006229560484194022,-0.33344633401234447,0.00023166174399280576,0.008926772445193222,145.09713567429702
37,35038,127353,AXISBANK,OPTSTK,2021-11-25,920,CE,0.1,0.25,0.1,0.1,0.1,24,265.0,180000,-21600,2021-11-23,686.05,2.0,233.95000000000005,140.625,0.0028309423262579026,-0.15502441685430604,0.0001215867803085441,0.0044095834127447055,148.87663603735058
38,35039,127354,AXISBANK,OPTSTK,2021-11-25,930,CE,0.15,0.15,0.15,0.15,0.0,4,44.64,34800,0,2021-11-23,686.05,2.0,243.95000000000005,160.15625,0.006088854694212587,-0.35025877608835426,0.00021179346995276496,0.008747926505231093,152.58965731876688
