,level_0,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,alpha,rho,nu,Beta,sabrsigma
1710,953,2879,ICICIBANK,2021-11-12,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,-,783.05,0.13150684931506848,0.7250337213376862,1.8765405583901134,-0.7381899637579008,1.7909100191843985,0.8,0.8568088413017401
1571,814,2432,ICICIBANK,2021-11-08,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,-,786.6,0.14246575342465753,0.7013589471512215,1.8580112510536646,-0.8028368064744372,1.6147027434005752,0.8,0.8287237134928708
975,218,687,ICICIBANK,2021-10-12,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.65,0,0.0,0.0,0,0,708.6,716.4,0.21643835616438356,0.4877959004903164,1.696774357596941,-0.2835990606045129,0.3034187406402745,0.8,0.49997466167147664
976,219,732,ICICIBANK,2021-10-13,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.6,0,0.0,0.0,0,0,709.95,716.1,0.2136986301369863,0.4905401674335667,1.7081050390730548,-0.2696197945442695,0.303922928587227,0.8,0.5023643214910039
1163,406,1283,ICICIBANK,2021-10-22,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.15,0,0.0,0.0,0,0,-,765.4,0.18904109589041096,0.5837568468177657,1.854386860618795,-2.0788283728289665,0.4347069626916383,0.8,0.6737570829609238
1999,1242,3888,ICICIBANK,2021-11-29,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.0,0,0.0,0.0,0,0,-,720.9,0.08493150684931507,0.787527217273789,0.894934743888122,-0.24958189508262676,4.654614751983723,0.8,0.9038558876585797
1970,1213,3776,ICICIBANK,2021-11-26,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,-,724.25,0.09315068493150686,0.7582077868018481,0.8944436580308364,-0.2503271740342039,4.409035834502544,0.8,0.8770978137762045
1675,918,2767,ICICIBANK,2021-11-11,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,-,777.15,0.13424657534246576,0.7093660637484127,1.8952929404195844,-0.7275067957529926,1.628618760822919,0.8,0.8280930202014009
1876,1119,3440,ICICIBANK,2021-11-23,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.0,0,0.0,0.0,0,0,-,754.5,0.10136986301369863,0.7790520190357026,0.8267749522415113,-0.21295952576191982,4.611435347745622,0.8,0.9423265970466289
1130,373,1188,ICICIBANK,2021-10-21,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.15,0,0.0,0.0,0,0,-,763.35,0.1917808219178082,0.5771130350837815,1.8410610192415675,-2.0221966006198757,0.4278468358085305,0.8,0.6648698162259008
1034,277,907,ICICIBANK,2021-10-18,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.25,0,0.0,0.0,0,0,-,751.75,0.2,0.551337468953877,1.803852327397941,-1.6157060470437514,0.3715676166130762,0.8,0.6177069579452827
1448,691,2079,ICICIBANK,2021-11-02,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,800.95,806.6,0.1589041095890411,0.6890358244822529,1.7977299614281554,-0.9520515866938642,1.5590569328171031,0.8,0.8249465916054064
1606,849,2543,ICICIBANK,2021-11-09,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,-,790.8,0.13972602739726028,0.7138617408648726,1.848680020770034,-0.8018286266007951,1.7370703904920035,0.8,0.8505385514832412
