,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
92,HDFCBANK,2021-11-26,2021-12-30,CE,1500,45.0,45.0,35.1,37.1,36.4,37.1,8517,72078.16,1812.91,1320000,630300,-,1491.95,34.0,22.52197265625,0.48248615065745704,-0.6010852958661653,0.0038863111886662427,1.8148410329215319,40.75,3.6499999999999986
93,HDFCBANK,2021-11-26,2021-12-30,PE,1500,28.55,45.95,28.55,43.65,44.5,43.65,5856,49474.85,1162.85,1561450,267300,-,1491.95,34.0,21.686553955078125,-0.5192237208815393,-0.5786745696939057,0.0040352237942042285,1.8144824124983403,36.8,-6.850000000000001
94,HDFCBANK,2021-11-29,2021-12-30,CE,1500,36.4,43.0,26.8,40.75,40.5,40.75,10922,92280.76,2174.26,1361800,41800,-,1503.05,31.0,22.4609375,0.5254195886188647,-0.6317878997676807,0.004046611853803042,1.7439543556717612,37.25,-3.5
95,HDFCBANK,2021-11-29,2021-12-30,PE,1500,38.55,59.75,33.5,36.8,38.0,36.8,4068,34472.65,911.65,1556500,-4950,-,1503.05,31.0,21.97265625,-0.47458913312922574,-0.6180542433455941,0.004136542338516234,1.7439567911788918,42.05,5.25
96,HDFCBANK,2021-11-30,2021-12-30,CE,1500,38.05,53.0,35.05,37.25,37.0,37.25,7666,65069.78,1825.28,1188000,-173800,-,1494.6,30.0,23.3001708984375,0.49178632249582593,-0.6636896345924912,0.003995027069592524,1.7090594849765617,40.6,3.3500000000000014
97,HDFCBANK,2021-11-30,2021-12-30,PE,1500,38.35,45.0,22.25,42.05,43.0,42.05,6027,50809.6,1086.85,1592800,36300,-,1494.6,30.0,22.94921875,-0.5087436390925489,-0.6536745388460335,0.00405600668566108,1.7090112198595875,33.0,-9.049999999999997
98,HDFCBANK,2021-12-01,2021-12-30,CE,1500,38.9,42.45,35.65,40.6,40.95,40.6,8064,68268.72,1740.72,1531750,343750,1504.65,1507.1,29.0,21.8505859375,0.5427901195075421,-0.634792815386198,0.004273114681121908,1.6849883750354002,50.15,9.549999999999997
99,HDFCBANK,2021-12-01,2021-12-30,PE,1500,41.0,42.35,31.4,33.0,31.4,33.0,3747,31663.05,750.3,1620850,28050,1504.65,1507.1,29.0,21.54541015625,-0.45694974013233347,-0.6258827431439264,0.004333334011955056,1.6848692523877207,22.4,-10.600000000000001
100,HDFCBANK,2021-12-02,2021-12-30,CE,1520,31.5,38.25,29.1,37.55,37.1,37.55,8595,73518.81,1664.61,1196250,-14300,1525.75,1527.4,28.0,20.030975341796875,0.545887711620567,-0.5996858740026024,0.004676672023661948,1.6765239021622813,31.15,-6.399999999999999
101,HDFCBANK,2021-12-02,2021-12-30,PE,1520,44.75,45.2,28.4,29.9,29.0,29.9,2782,23766.29,508.77,819500,27500,1525.75,1527.4,28.0,19.8974609375,-0.45395278288430074,-0.5956610425599461,0.004707834241480293,1.6764459791193889,36.2,6.300000000000004
102,HDFCBANK,2021-12-03,2021-12-30,CE,1520,38.0,41.8,28.15,31.15,31.45,31.15,4859,41533.79,912.55,1262800,66550,-,1515.3,27.0,20.31707763671875,0.48866557980760766,-0.6183527433243348,0.004762548651706983,1.6434966059866272,27.05,-4.099999999999998
103,HDFCBANK,2021-12-03,2021-12-30,PE,1520,28.35,39.35,24.1,36.2,38.85,36.2,3470,29612.93,603.73,922900,103400,-,1515.3,27.0,20.5078125,-0.5110231189858406,-0.6241714368927882,0.004718357335425557,1.6435325606868387,40.35,4.149999999999999
104,HDFCBANK,2021-12-06,2021-12-30,CE,1500,41.0,43.95,35.7,37.15,37.0,37.15,4255,36012.73,908.98,1364550,205150,1503.8,1506.2,24.0,22.08709716796875,0.5402834016756372,-0.7053874015991692,0.004652731476999507,1.532958134754923,,
105,HDFCBANK,2021-12-06,2021-12-30,PE,1500,29.75,32.45,23.3,30.55,30.05,30.55,4757,39973.61,728.36,1619750,120450,1503.8,1506.2,24.0,21.82769775390625,-0.4595050846609184,-0.6970653847209071,0.004707769895072126,1.5328752873452145,,
