gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1447,20171231,2017,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,181159,,,43870,,162932,,,A,
1447,20171231,2017,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,181159,19.3562,859,43870,5455,162932,35583,,A,
1447,20181231,2018,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,188602,,,47108,,166312,,,A,
1447,20181231,2018,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,188602,24.4274,847,47108,6015,166312,43281,,A,
1447,20191231,2019,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,198321,,,43003,,175250,,,A,
1447,20191231,2019,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,198321,26.5074,810,43003,6562,175250,47020,,A,
1449,20101231,2010,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,101039,,,2607,,89983,,,A,
1449,20101231,2010,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,101039,23.5404,469.661,2607,409,89983,20732,,A,
1449,20111231,2011,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,117102,,,2940,,103596,,,A,20172.5706
1449,20111231,2011,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,117102,28.9636,466.31,2940,446,103596,22171,,A,20172.5706
1449,20121231,2012,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,131094,,,4349,,115116,,,A,
1449,20121231,2012,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,131094,34.1566,467.786,4349,458,115116,25364,,A,
1449,20131231,2013,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,121307,,,4571,,106687,,,A,
1449,20131231,2013,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,121307,31.8232,459.413,4571,460,106687,23939,,A,
1449,20141231,2014,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,119767,,,4854,,101420,,,A,
1449,20141231,2014,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,119767,41.4673,442.445,4854,437,101420,22728,,A,
1449,20151231,2015,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,118296,,,4808,,100588,,,A,25420.362
1449,20151231,2015,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,118296,41.7268,424.38,4808,468,100588,20904,,A,25420.362
